ภาค,จังหวัด,ประเภทคดีอาชญากรรม,ประเภทความผิด,2550,2551,2552,2553,2554,2555,2556,2557,2558,2559,,
ภาคกลาง,อ่างทอง,รับแจ้ง,รวม,502,354,437,413,241,282,257,284,350,315,,
ภาคกลาง,อ่างทอง,รับแจ้ง,ลักทรัพย์,340,308,395,365,210,240,215,252,281,275,,
ภาคกลาง,อ่างทอง,รับแจ้ง,วิ่งราวทรัพย์,21,22,14,14,12,13,15,9,25,14,,
ภาคกลาง,อ่างทอง,รับแจ้ง,รีดเอาทรัพย์,0,0,0,0,0,0,1,0,0,0,,
ภาคกลาง,อ่างทอง,รับแจ้ง,กรรโชกทรัพย์,0,1,1,1,1,3,2,0,0,0,,
ภาคกลาง,อ่างทอง,รับแจ้ง,ชิงทรัพย์ (รวม),14,2,7,4,4,11,7,8,6,6,,
ภาคกลาง,อ่างทอง,รับแจ้ง,บาดเจ็บ,10,0,5,2,0,3,1,2,2,2,,
ภาคกลาง,อ่างทอง,รับแจ้ง,ไม่บาดเจ็บ,4,2,2,2,4,8,6,6,4,4,,
ภาคกลาง,อ่างทอง,รับแจ้ง,ปล้นทรัพย์,8,4,2,6,0,1,6,1,1,2,,
ภาคกลาง,อ่างทอง,รับแจ้ง,รับของโจร,7,0,0,0,1,1,0,2,5,0,,
ภาคกลาง,อ่างทอง,รับแจ้ง,ทำให้เสียทรัพย์,112,17,18,23,13,13,11,12,32,18,,
ภาคกลาง,อ่างทอง,จับกุม,รวม,147,96,89,120,74,91,86,108,93,114,,
ภาคกลาง,อ่างทอง,จับกุม,ลักทรัพย์,108,83,75,102,57,75,59,95,66,96,,
ภาคกลาง,อ่างทอง,จับกุม,วิ่งราวทรัพย์,10,7,4,2,5,3,9,2,10,6,,
ภาคกลาง,อ่างทอง,จับกุม,รีดเอาทรัพย์,0,0,0,0,0,0,0,0,0,0,,
ภาคกลาง,อ่างทอง,จับกุม,กรรโชกทรัพย์,0,0,0,0,1,2,2,0,0,0,,
ภาคกลาง,อ่างทอง,จับกุม,ชิงทรัพย์ (รวม),4,1,3,1,3,4,5,5,3,2,,
ภาคกลาง,อ่างทอง,จับกุม,บาดเจ็บ,3,0,3,0,0,2,1,0,0,0,,
ภาคกลาง,อ่างทอง,จับกุม,ไม่บาดเจ็บ,1,1,0,1,3,2,4,5,3,2,,
ภาคกลาง,อ่างทอง,จับกุม,ปล้นทรัพย์,3,1,0,4,0,0,6,1,0,1,,
ภาคกลาง,อ่างทอง,จับกุม,รับของโจร,7,0,0,0,1,1,0,2,2,0,,
ภาคกลาง,อ่างทอง,จับกุม,ทำให้เสียทรัพย์,15,4,7,11,7,6,5,3,12,9,,
ภาคกลาง,ลพบุรี,รับแจ้ง,รวม,628,496,536,604,620,608,497,426,487,524,,
ภาคกลาง,ลพบุรี,รับแจ้ง,ลักทรัพย์,532,428,442,533,533,528,438,366,421,455,,
ภาคกลาง,ลพบุรี,รับแจ้ง,วิ่งราวทรัพย์,22,20,32,27,36,29,26,21,26,21,,
