ภาค,จังหวัด,ประเภทคดีอาชญากรรม,ประเภทความผิด,2550,2551,2552,2553,2554,2555,2556,2557,2558,2559,
ภาคกลาง,จันทบุรี,จับกุม,ชิงทรัพย์ (รวม),6,4,3,4,2,5,0,3,3,1,
ภาคกลาง,จันทบุรี,จับกุม,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,0,0,0,
ภาคกลาง,จันทบุรี,จับกุม,วางเพลิง,0,0,0,2,0,0,0,2,1,2,
ภาคกลาง,ตราด,รับแจ้ง,รวม,21,18,13,19,23,17,22,13,10,13,
ภาคกลาง,ตราด,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,15,12,10,13,16,14,9,9,6,5,
ภาคกลาง,ตราด,รับแจ้ง,ปล้นทรัพย์,1,2,0,0,1,0,2,0,1,0,
ภาคกลาง,ตราด,รับแจ้ง,ชิงทรัพย์ (รวม),3,4,2,4,3,3,10,4,1,3,
ภาคกลาง,ตราด,รับแจ้ง,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,0,0,0,
ภาคกลาง,ตราด,รับแจ้ง,วางเพลิง,2,0,1,2,3,0,1,0,2,5,
ภาคกลาง,ตราด,จับกุม,รวม,19,13,11,15,17,14,20,9,9,9,
ภาคกลาง,ตราด,จับกุม,ฆ่าผู้อื่นโดยเจตนา,14,8,8,10,13,11,8,6,6,3,
ภาคกลาง,ตราด,จับกุม,ปล้นทรัพย์,1,2,0,0,1,0,2,0,1,0,
ภาคกลาง,ตราด,จับกุม,ชิงทรัพย์ (รวม),2,3,2,3,1,3,9,3,1,2,
ภาคกลาง,ตราด,จับกุม,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,0,0,0,
ภาคกลาง,ตราด,จับกุม,วางเพลิง,2,0,1,2,2,0,1,0,1,4,
ภาคกลาง,ฉะเชิงเทรา,รับแจ้ง,รวม,94,90,65,56,53,73,42,36,28,19,
ภาคกลาง,ฉะเชิงเทรา,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,59,44,40,35,42,43,30,25,11,14,
ภาคกลาง,ฉะเชิงเทรา,รับแจ้ง,ปล้นทรัพย์,13,13,7,4,3,11,5,5,3,0,
ภาคกลาง,ฉะเชิงเทรา,รับแจ้ง,ชิงทรัพย์ (รวม),20,30,16,15,6,18,6,5,12,4,
ภาคกลาง,ฉะเชิงเทรา,รับแจ้ง,ลักพาเรียกค่าไถ่,0,1,0,0,0,1,0,0,0,0,
ภาคกลาง,ฉะเชิงเทรา,รับแจ้ง,วางเพลิง,2,2,2,2,2,0,1,1,2,1,
ภาคกลาง,ฉะเชิงเทรา,จับกุม,รวม,42,53,37,31,27,51,33,30,27,15,
ภาคกลาง,ฉะเชิงเทรา,จับกุม,ฆ่าผู้อื่นโดยเจตนา,28,24,21,22,20,27,23,21,11,12,
ภาคกลาง,ฉะเชิงเทรา,จับกุม,ปล้นทรัพย์,7,8,5,2,1,11,4,5,3,0,
ภาคกลาง,ฉะเชิงเทรา,จับกุม,ชิงทรัพย์ (รวม),6,19,10,7,4,12,5,3,11,3,
ภาคกลาง,ฉะเชิงเทรา,จับกุม,ลักพาเรียกค่าไถ่,0,1,0,0,0,1,0,0,0,0,
ภาคกลาง,ฉะเชิงเทรา,จับกุม,วางเพลิง,1,1,1,0,2,0,1,1,2,0,
ภาคกลาง,ปราจีนบุรี,รับแจ้ง,รวม,57,38,50,42,43,37,41,34,29,22,
ภาคกลาง,ปราจีนบุรี,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,38,25,39,22,28,26,26,21,20,15,
ภาคกลาง,ปราจีนบุรี,รับแจ้ง,ปล้นทรัพย์,4,4,2,3,2,1,1,3,1,1,
ภาคกลาง,ปราจีนบุรี,รับแจ้ง,ชิงทรัพย์ (รวม),15,9,9,14,10,8,10,9,4,2,
ภาคกลาง,ปราจีนบุรี,รับแจ้ง,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,1,0,0,0,
ภาคกลาง,ปราจีนบุรี,รับแจ้ง,วางเพลิง,0,0,0,3,3,2,3,1,4,4,
ภาคกลาง,ปราจีนบุรี,จับกุม,รวม,20,17,26,26,16,27,30,24,24,15,
ภาคกลาง,ปราจีนบุรี,จับกุม,ฆ่าผู้อื่นโดยเจตนา,11,9,19,11,10,18,17,12,16,12,
ภาคกลาง,ปราจีนบุรี,จับกุม,ปล้นทรัพย์,2,3,2,2,1,1,1,3,1,1,
ภาคกลาง,ปราจีนบุรี,จับกุม,ชิงทรัพย์ (รวม),7,5,5,11,4,6,8,8,3,0,
ภาคกลาง,ปราจีนบุรี,จับกุม,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,1,0,0,0,
ภาคกลาง,ปราจีนบุรี,จับกุม,วางเพลิง,0,0,0,2,1,2,3,1,4,2,
ภาคกลาง,นครนายก,รับแจ้ง,รวม,39,24,25,28,37,17,10,12,12,8,
ภาคกลาง,นครนายก,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,22,11,9,16,20,13,8,5,8,3,
ภาคกลาง,นครนายก,รับแจ้ง,ปล้นทรัพย์,5,3,3,5,7,2,1,4,2,1,
ภาคกลาง,นครนายก,รับแจ้ง,ชิงทรัพย์ (รวม),12,10,12,6,7,2,0,2,2,4,
ภาคกลาง,นครนายก,รับแจ้ง,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,1,0,0,
ภาคกลาง,นครนายก,รับแจ้ง,วางเพลิง,0,0,1,1,3,0,1,0,0,0,
ภาคกลาง,นครนายก,จับกุม,รวม,22,11,8,21,23,9,8,11,12,7,
ภาคกลาง,นครนายก,จับกุม,ฆ่าผู้อื่นโดยเจตนา,12,5,3,12,11,6,7,5,8,3,
ภาคกลาง,นครนายก,จับกุม,ปล้นทรัพย์,5,1,2,5,5,2,0,4,2,0,
ภาคกลาง,นครนายก,จับกุม,ชิงทรัพย์ (รวม),5,5,2,3,5,1,0,1,2,4,
ภาคกลาง,นครนายก,จับกุม,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,1,0,0,
ภาคกลาง,นครนายก,จับกุม,วางเพลิง,0,0,1,1,2,0,1,0,0,0,
ภาคกลาง,สระแก้ว,รับแจ้ง,รวม,42,40,32,33,28,29,32,16,18,23,
ภาคกลาง,สระแก้ว,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,28,25,19,23,16,23,20,12,13,16,
ภาคกลาง,สระแก้ว,รับแจ้ง,ปล้นทรัพย์,2,4,3,2,0,1,1,0,1,0,
ภาคกลาง,สระแก้ว,รับแจ้ง,ชิงทรัพย์ (รวม),9,8,8,6,8,3,9,4,1,2,
ภาคกลาง,สระแก้ว,รับแจ้ง,ลักพาเรียกค่าไถ่,0,1,0,0,0,0,0,0,0,0,
ภาคกลาง,สระแก้ว,รับแจ้ง,วางเพลิง,3,2,2,2,4,2,2,0,3,5,
ภาคกลาง,สระแก้ว,จับกุม,รวม,19,20,10,21,19,20,25,16,17,19,
ภาคกลาง,สระแก้ว,จับกุม,ฆ่าผู้อื่นโดยเจตนา,10,13,5,14,14,16,16,12,13,13,
