ภาค,จังหวัด,ระดับการศึกษา,สายการศึกษา,รวม
ภาคกลาง,ชลบุรี,ระดับอุดมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,25599.28
ภาคกลาง,ชลบุรี,การศึกษาอื่น ๆ,สายวิชาการศึกษาระดับมหาวิทยาลัย,269.6225
ภาคกลาง,ชลบุรี,ไม่ทราบ,สายวิชาการศึกษาระดับมหาวิทยาลัย,44367.445
ภาคกลาง,ระยอง,รวม,สายวิชาการศึกษาระดับมหาวิทยาลัย,774392.75
ภาคกลาง,ระยอง,ไม่ได้เรียน,สายวิชาการศึกษาระดับมหาวิทยาลัย,23457.6175
ภาคกลาง,ระยอง,ก่อนประถมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,113481.0225
ภาคกลาง,ระยอง,ระดับประถมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,137951.6925
ภาคกลาง,ระยอง,ระดับมัธยมศึกษาตอนต้น,สายวิชาการศึกษาระดับมหาวิทยาลัย,156441.6975
ภาคกลาง,ระยอง,ระดับมัธยมศึกษาตอนปลาย,สายสามัญ,114018.2775
ภาคกลาง,ระยอง,ระดับมัธยมศึกษาตอนปลาย,สายอาชีวศึกษา,31834.6275
ภาคกลาง,ระยอง,ระดับมัธยมศึกษาตอนปลาย,สายวิชาการศึกษา,0
ภาคกลาง,ระยอง,ระดับอุดมศึกษา,สายวิชาการ,84410.7475
ภาคกลาง,ระยอง,ระดับอุดมศึกษา,สายวิชาชีพ,73056.2425
ภาคกลาง,ระยอง,ระดับอุดมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,9343.2475
ภาคกลาง,ระยอง,การศึกษาอื่น ๆ,สายวิชาการศึกษาระดับมหาวิทยาลัย,24291.6325
ภาคกลาง,ระยอง,ไม่ทราบ,สายวิชาการศึกษาระดับมหาวิทยาลัย,6105.945
ภาคกลาง,จันทบุรี,รวม,สายวิชาการศึกษาระดับมหาวิทยาลัย,476559.7525
ภาคกลาง,จันทบุรี,ไม่ได้เรียน,สายวิชาการศึกษาระดับมหาวิทยาลัย,21458.44
ภาคกลาง,จันทบุรี,ก่อนประถมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,118310.5025
ภาคกลาง,จันทบุรี,ระดับประถมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,111286.215
ภาคกลาง,จันทบุรี,ระดับมัธยมศึกษาตอนต้น,สายวิชาการศึกษาระดับมหาวิทยาลัย,83494.625
ภาคกลาง,จันทบุรี,ระดับมัธยมศึกษาตอนปลาย,สายสามัญ,56551.4625
ภาคกลาง,จันทบุรี,ระดับมัธยมศึกษาตอนปลาย,สายอาชีวศึกษา,11498.75
