,โคคาอีน (โคเคน),0,0,0,0,0,0,0,0,0,0,0,
,คีตามีน,0,0,1,0,1,6,4,4,4,44,33,
,โคเดอีน,0,0,0,0,0,0,0,0,0,0,0,
นครปฐม,รวม,"2,651","2,975","4,673","1,168",893,"1,548","1,487","2,449","1,787","1,653",880,
,เฮโรอีน,0,0,0,0,0,0,0,0,0,4,1,
,เอ็กซ์ตาซี,0,2,6,5,5,5,1,8,7,8,4,
,กัญชาแห้ง,127,233,977,83,26,55,51,90,120,94,30,
,พืชกระท่อม,18,19,71,35,21,28,11,22,41,57,6,
,เมทแอมเฟตามีน,"2,248","2,363","3,103",903,703,"1,207","1,153","1,707","1,022",881,524,
,ไอซ์,245,312,501,138,134,247,261,581,559,574,303,
,โคคาอีน (โคเคน),0,0,1,0,0,0,0,0,0,0,0,
,คีตามีน,13,46,14,4,4,6,10,41,38,35,12,
,โคเดอีน,0,0,0,0,0,0,0,0,0,0,0,
สมุทรสาคร,รวม,267,260,659,642,506,663,607,927,"1,534","1,160",826,
,เฮโรอีน,0,0,0,0,0,0,0,0,1,1,2,
,เอ็กซ์ตาซี,1,0,2,4,4,4,1,3,7,10,3,
,กัญชาแห้ง,2,2,2,4,2,33,10,51,100,102,68,
,พืชกระท่อม,0,2,3,2,3,6,0,3,12,10,8,
,เมทแอมเฟตามีน,176,170,423,411,317,417,413,583,769,437,414,
,ไอซ์,87,86,228,221,175,201,178,268,609,565,315,
,โคคาอีน (โคเคน),0,0,0,0,0,0,0,0,0,0,0,
,คีตามีน,1,0,1,0,5,2,5,19,36,35,16,
,โคเดอีน,0,0,0,0,0,0,0,0,0,0,0,
สมุทรสงคราม,รวม,864,614,298,53,91,120,44,92,180,41,30,
,เฮโรอีน,0,0,0,0,0,0,0,0,0,0,0,
,เอ็กซ์ตาซี,0,0,0,0,0,0,0,0,0,0,0,
,กัญชาแห้ง,88,98,17,2,1,8,0,1,15,1,0,
,พืชกระท่อม,1,3,1,0,0,0,0,0,2,0,0,
,เมทแอมเฟตามีน,644,371,220,33,51,83,27,58,95,17,19,
,ไอซ์,131,142,60,18,38,29,17,30,67,22,11,
,โคคาอีน (โคเคน),0,0,0,0,0,0,0,0,0,0,0,
,คีตามีน,0,0,0,0,1,0,0,3,1,1,0,
,โคเดอีน,0,0,0,0,0,0,0,0,0,0,0,
เพชรบุรี,รวม,"3,494","3,448","4,265","2,317","1,793","1,816","1,726","2,382","2,935","2,368","2,128",
,เฮโรอีน,0,0,0,0,0,0,0,0,1,3,2,
,เอ็กซ์ตาซี,5,11,3,2,4,1,9,36,9,1,5,
,กัญชาแห้ง,344,306,586,234,179,114,88,111,164,97,89,
,พืชกระท่อม,95,126,191,79,84,47,38,29,45,32,24,
,เมทแอมเฟตามีน,"2,871","2,771","3,350","1,864","1,426","1,553","1,474","1,984","2,348","1,788","1,744",
,ไอซ์,178,227,133,134,97,100,113,208,352,438,252,
,โคคาอีน (โคเคน),0,0,1,0,0,0,0,0,0,0,0,
,คีตามีน,1,7,1,4,3,1,4,14,16,9,12,
,โคเดอีน,0,0,0,0,0,0,0,0,0,0,0,
ประจวบคีรีขันธ์,รวม,"1,188",766,403,182,166,482,347,312,292,241,163,
,เฮโรอีน,1,0,1,0,0,3,0,0,0,1,1,
,เอ็กซ์ตาซี,0,1,0,0,0,0,1,0,0,1,0,
,กัญชาแห้ง,117,79,35,13,3,23,8,11,7,6,10,
,พืชกระท่อม,64,49,70,50,29,78,33,33,19,18,10,
,เมทแอมเฟตามีน,923,571,276,105,122,359,270,237,206,157,120,
,ไอซ์,83,66,21,14,12,19,34,31,59,56,21,
,โคคาอีน (โคเคน),0,0,0,0,0,0,0,0,0,0,0,
,คีตามีน,0,0,0,0,0,0,1,0,1,2,1,
,โคเดอีน,0,0,0,0,0,0,0,0,0,0,0,
เชียงใหม่,รวม,"3,174","3,363","2,991","3,095","1,893","2,173","1,426","2,055","2,159","1,844","2,006",
,เฮโรอีน,27,130,102,117,89,142,66,127,146,108,129,
,เอ็กซ์ตาซี,1,2,1,1,11,4,0,2,15,2,3,
,กัญชาแห้ง,27,29,30,55,26,41,21,47,43,48,63,
,พืชกระท่อม,1,0,0,1,1,1,0,1,1,3,4,
,เมทแอมเฟตามีน,"3,093","3,162","2,821","2,887","1,722","1,928","1,318","1,815","1,841","1,585","1,709",
,ไอซ์,22,37,36,34,44,56,20,58,88,87,90,
,โคคาอีน (โคเคน),3,1,0,0,0,0,1,2,3,3,1,
,คีตามีน,0,2,1,0,0,1,0,3,22,8,7,
,โคเดอีน,0,0,0,0,0,0,0,0,0,0,0,
ลำพูน,รวม,396,911,737,919,497,866,928,"1,317",776,"1,635","1,738",
,เฮโรอีน,1,0,0,3,1,0,3,1,0,2,1,
,เอ็กซ์ตาซี,0,0,0,0,0,0,0,0,0,0,0,
,กัญชาแห้ง,3,15,6,24,8,21,21,30,9,63,41,
,พืชกระท่อม,0,1,6,0,0,1,1,3,0,2,1,
,เมทแอมเฟตามีน,392,885,719,878,0,822,878,"1,260",749,"1,503","1,658",
,ไอซ์,0,10,6,14,13,22,25,22,16,64,37,
,โคคาอีน (โคเคน),0,0,0,0,475,0,0,0,0,0,0,
,คีตามีน,0,0,0,0,0,0,0,1,2,1,0,
,โคเดอีน,0,0,0,0,0,0,0,0,0,0,0,
ลำปาง,รวม,"1,076","1,062",758,429,325,444,852,"1,864","1,831","2,146","2,313",
,เฮโรอีน,1,2,0,1,2,3,1,1,0,1,0,
,เอ็กซ์ตาซี,0,0,0,0,0,0,0,1,2,2,0,
,กัญชาแห้ง,26,18,17,2,1,8,15,52,40,65,102,
,พืชกระท่อม,18,3,1,1,1,1,1,6,3,13,2,
,เมทแอมเฟตามีน,"1,019",987,714,420,317,396,792,"1,707","1,701","2,014","2,137",
,ไอซ์,12,52,26,5,4,36,42,97,82,50,69,
,โคคาอีน (โคเคน),0,0,0,0,0,0,0,0,0,0,0,
